14-07-2023 10:50:47 :: Abrindo URL
14-07-2023 10:51:03 :: Iniciando a coleta
14-07-2023 10:51:07 :: ADD - {'position': '34', 'movie': 'Psicose', 'year': '1960', 'duration': '1h 49m', 'rating': '14', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:07 :: ADD - {'position': '35', 'movie': 'Parasita', 'year': '2019', 'duration': '2h 12m', 'rating': '16', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:07 :: ADD - {'position': '36', 'movie': 'O Profissional', 'year': '1994', 'duration': '1h 50m', 'rating': '14', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:07 :: ADD - {'position': '37', 'movie': 'O Rei Leão', 'year': '1994', 'duration': '1h 28m', 'rating': 'Livre', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:07 :: ADD - {'position': '38', 'movie': 'Gladiador', 'year': '2000', 'duration': '2h 35m', 'rating': '14', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:07 :: ADD - {'position': '39', 'movie': 'A Outra História Americana', 'year': '1998', 'duration': '1h 59m', 'rating': '14', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:08 :: ADD - {'position': '40', 'movie': 'Os Infiltrados', 'year': '2006', 'duration': '2h 31m', 'rating': '18', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:08 :: ADD - {'position': '41', 'movie': 'Whiplash: Em Busca da Perfeição', 'year': '2014', 'duration': '1h 46m', 'rating': '12', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:08 :: ADD - {'position': '42', 'movie': 'O Grande Truque', 'year': '2006', 'duration': '2h 10m', 'rating': '14', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:08 :: ADD - {'position': '43', 'movie': 'Os Suspeitos', 'year': '1995', 'duration': '1h 46m', 'rating': '14', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:08 :: ADD - {'position': '44', 'movie': 'Casablanca', 'year': '1942', 'duration': '1h 42m', 'rating': 'Livre', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:08 :: ADD - {'position': '45', 'movie': 'Túmulo dos Vagalumes', 'year': '1988', 'duration': '1h 29m', 'rating': '12', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:08 :: ADD - {'position': '46', 'movie': 'Harakiri', 'year': '1962', 'duration': '2h 13m', 'rating': '16', 'rate': '8.6', 'history_id': 11}
14-07-2023 10:51:08 :: ADD - {'position': '47', 'movie': 'Intocáveis', 'year': '2011', 'duration': '1h 52m', 'rating': '14', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:08 :: ADD - {'position': '48', 'movie': 'Tempos Modernos', 'year': '1936', 'duration': '1h 27m', 'rating': 'Livre', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:09 :: ADD - {'position': '49', 'movie': 'Cinema Paradiso', 'year': '1988', 'duration': '2h 35m', 'rating': '10', 'rate': '8.5', 'history_id': 11}
